"张艺谋：中国故事 ""Arena"" Zhang Yimou (1993)",克里斯托弗·布鲁斯,张艺谋,张秉钧,张孝友,巩俐,张艾嘉,莫言
活着 (1994),张艺谋,葛优,巩俐,姜武,牛犇,郭涛,张璐,倪大红,肖聪
影 (2018),张艺谋,邓超,孙俪,郑恺,王千源,王景春,胡军,关晓彤,吴磊
金陵十三钗 (2011),张艺谋,克里斯蒂安·贝尔,倪妮,张歆怡,黄天元,韩熙庭,张逗逗,佟大为,曹可凡
张艺谋和他的“影” (2018),汪鹏,张艺谋,赵小丁,陈敏正,马光荣,谷轩昭,白小妍,王星会,黄海
英雄 (2002),张艺谋,李连杰,梁朝伟,张曼玉,章子怡,陈道明,甄子丹
满城尽带黄金甲 (2006),张艺谋,周润发,巩俐,刘烨,周杰伦,陈瑾,倪大红,李曼,秦俊杰
归来 (2014),张艺谋,陈道明,巩俐,张慧雯,郭涛,刘佩琦,祖峰,闫妮,辛柏青
长城 The Great Wall (2016),张艺谋,马特·达蒙,景甜,佩德罗·帕斯卡,刘德华,威廉·达福,张涵予,鹿晗,彭于晏
大红灯笼高高挂 (1991),张艺谋,巩俐,马精武,何赛飞,曹翠芬,周琦,孔琳,金淑媛,丁惟敏
红高粱 (1988),张艺谋,姜文,巩俐,滕汝骏,钱明,陈志刚,计春华
有话好好说 (1997),张艺谋,姜文,李保田,瞿颖,刘信义,葛优,李雪健,尤勇
十面埋伏 (2004),张艺谋,金城武,刘德华,章子怡,宋丹丹,刘腾远,赵鸿飞,郭军,张恕
山楂树之恋 (2010),张艺谋,周冬雨,窦骁,奚美娟,李雪健,姜瑞佳,于新博,萨日娜,成泰燊
我的父亲母亲 (1999),张艺谋,章子怡,郑昊,孙红雷,李滨,嵇波,宋运成
菊豆 (1990),张艺谋,杨凤良,巩俐,李保田,李纬,丛志军,金甲,牛星丽
大宅门 (2001),郭宝昌,斯琴高娃,刘佩琦,陈宝国,蒋雯丽,张丰毅,贾妮,张艺谋,何赛飞
秋菊打官司 (1992),张艺谋,巩俐,刘佩琦,雷恪生,戈治均,杨柳春,朱万清,崔络纹,杨惠琴
三枪拍案惊奇 (2009),张艺谋,小沈阳,闫妮,孙红雷,倪大红,程野,毛毛,赵本山
每个人都有他自己的电影 Chacun son cinéma ou Ce petit coup au cœur quand la lumière s'éteint et que le film commence (2007),西奥·安哲罗普洛斯,奥利维耶·阿萨亚斯,比利·奥古斯特,简·坎皮恩,尤瑟夫·夏因,大卫·柯南伯格,迈克尔·西米诺,伊桑·科恩,乔尔·科恩,让-皮埃尔·达内,吕克·达内,曼努埃尔·德·奥利维拉,雷蒙·德帕东,阿托姆·伊戈扬,阿莫斯·吉泰,亚利桑德罗·冈萨雷斯·伊纳里图,侯孝贤,阿基·考里斯马基,阿巴斯·基亚罗斯塔米,北野武,安德烈·康查洛夫斯基,克洛德·勒卢什,肯·洛奇,大卫·林奇,南尼·莫莱蒂,罗曼·波兰斯基,拉乌·鲁兹,沃尔特·塞勒斯,伊利亚·苏雷曼,蔡明亮,格斯·范·桑特,拉斯·冯·提尔,维姆·文德斯,王家卫,张艺谋,陈凯歌,乔什·布洛林,伊莎贝尔·阿佳妮,碧姬·芭铎,让娜·莫罗,威廉·达福
一个都不能少 (1999),张艺谋,魏敏芝,张慧科,田正达,高恩满,孙志梅,冯玉英,李凡凡,张艺长
一秒钟 (2019),张艺谋,张译,刘浩存,范伟,余皑磊,李延,张邵勃,唐孜悦
古今大战秦俑情 秦俑 (1990),程小东,张艺谋,巩俐,于荣光,吴天明,陆树铭
